https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume BTC,tradecount
1721174400000,2024-07-17,SOLBTC,0.0024695,0.0025035,0.002415,0.0024265,276397.183,678.87336868,301819
1721088000000,2024-07-16,SOLBTC,0.0024618,0.0025184,0.0024095,0.0024695,458920.191,1130.81927719,534005
1721001600000,2024-07-15,SOLBTC,0.002429,0.0024758,0.0024083,0.0024617,400461.75,978.33002209,367300
1720915200000,2024-07-14,SOLBTC,0.0023969,0.0024395,0.0023965,0.002429,273676.008,662.63460555,242785
1720828800000,2024-07-13,SOLBTC,0.0024092,0.0024135,0.002375,0.0023968,171924.038,411.34441663,139149
1720742400000,2024-07-12,SOLBTC,0.0023675,0.0024099,0.002358,0.0024093,281442.66,671.25786396,210747
1720656000000,2024-07-11,SOLBTC,0.0024597,0.0024646,0.0023652,0.0023675,337324.274,817.44730215,247768
1720569600000,2024-07-10,SOLBTC,0.0024364,0.0024643,0.0024149,0.0024597,294370.96,719.3671773,205340
1720483200000,2024-07-09,SOLBTC,0.0024651,0.002497,0.002422,0.0024364,323148.668,794.76383877,257739
1720396800000,2024-07-08,SOLBTC,0.002356,0.0024954,0.002333,0.002465,539077.923,1307.97285088,393829
1720310400000,2024-07-07,SOLBTC,0.0024562,0.0024588,0.0023475,0.002356,171387.113,412.9635708,153001
1720224000000,2024-07-06,SOLBTC,0.0023715,0.002484,0.002355,0.0024561,202030.323,492.18219115,181700
1720137600000,2024-07-05,SOLBTC,0.0022409,0.0024106,0.0021945,0.0023716,613900.833,1417.6673474,410058
1720051200000,2024-07-04,SOLBTC,0.0023386,0.0023629,0.002228,0.0022409,348450.826,804.04741043,243207
1719964800000,2024-07-03,SOLBTC,0.0024786,0.0024813,0.0023271,0.0023386,283967.848,678.87363702,194312
1719878400000,2024-07-02,SOLBTC,0.0023317,0.0024944,0.0023265,0.0024785,186730.845,450.05540616,151650
1719792000000,2024-07-01,SOLBTC,0.002336,0.0023632,0.0023185,0.0023317,153856.432,359.85539546,109258
1719705600000,2024-06-30,SOLBTC,0.0022997,0.0023561,0.0022557,0.002336,140384.494,324.12343513,106648
1719619200000,2024-06-29,SOLBTC,0.0023172,0.0023481,0.0022936,0.0022998,89972.568,209.15802037,70961
1719532800000,2024-06-28,SOLBTC,0.0024263,0.0024289,0.0023116,0.0023173,222133.33,523.15856377,173492
1719446400000,2024-06-27,SOLBTC,0.0022482,0.0024427,0.0022284,0.0024264,300594.116,712.24625163,189592
1719360000000,2024-06-26,SOLBTC,0.0022097,0.0022693,0.0022076,0.0022482,112775.263,251.89411884,88222
